,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,sound/soc/fsl/imx-audmux.c,412,20,28,1311247043.0,1565888594.0,1380469224.6529126,24,,0.0
1,tools/cgroup/cgroup_event_listener.c,83,3,3,1311247043.0,1509520077.0,1325903810.0120482,3,,0.0
2,drivers/media/rc/keymaps/rc-kworld-315u.c,79,5,6,1309672992.0,1561347734.0,1368821199.8481014,5,,0.0
3,arch/arm/mach-orion5x/common.c,391,13,28,1311247043.0,1555572022.0,1329811889.797954,38,,0.0
4,drivers/media/rc/bpf-lirc.c,340,4,7,1527395049.0,1559024082.0,1530700267.8294117,7,fdb5c4531c1e,14.285714285714285
5,drivers/leds/leds-regulator.c,200,7,10,1311247043.0,1559614293.0,1324282917.93,10,,0.0
6,drivers/watchdog/stm32_iwdg.c,303,7,10,1491459565.0,1574403766.0,1519188813.8811882,10,,0.0
7,arch/x86/kernel/umip.c,434,6,9,1509877672.0,1572960340.0,1516404998.7119815,12,,0.0
8,drivers/gpu/drm/nouveau/nvkm/engine/disp/ovlygt200.c,74,1,4,1440053659.0,1525783186.0,1450480223.0945945,4,,0.0
9,drivers/clk/uniphier/clk-uniphier-peri.c,60,3,4,1474015204.0,1577414525.0,1493081250.1,4,1ec09a2ec67a,25.0
10,drivers/gpu/drm/nouveau/nvkm/engine/disp/sorgm200.c,125,2,19,1408409127.0,1535979454.0,1474170148.64,22,,0.0
11,sound/soc/codecs/wm8955.c,1015,11,18,1305014297.0,1563924392.0,1328457069.9330049,32,,0.0
12,arch/arm/mach-mvebu/pm.c,270,4,6,1416560406.0,1484423969.0,1421754922.2074075,8,,0.0
13,arch/mips/kernel/csrc-r4k.c,90,5,5,1311247043.0,1482323521.0,1392895475.3666666,4,,0.0
14,drivers/gpio/gpio-amd-fch.c,192,5,5,1550804055.0,1573008852.0,1551049463.7083333,7,c0162a49e0a0,14.285714285714285
15,drivers/media/dvb-frontends/cxd2880/cxd2880_tnrdmd_mon.c,150,1,1,1516218620.0,1516218620.0,1516218620.0,1,,0.0
16,arch/mips/cavium-octeon/crypto/octeon-crypto.c,69,3,4,1419173638.0,1488932971.0,1421436602.115942,4,fc69910f329d,25.0
17,arch/arm/mach-sa1100/neponset.c,440,7,26,1311247043.0,1557820011.0,1371192717.4727273,32,04b91701d471,3.125
18,samples/bpf/xdp_rxq_info_kern.c,140,3,5,1514949979.0,1579500409.0,1527898171.2357142,5,7cf245a37ef0,20.0
19,drivers/leds/leds-wm8350.c,268,8,10,1309672563.0,1559614293.0,1326485300.5783582,12,,0.0
20,fs/sysfs/dir.c,162,6,20,1311247043.0,1546482227.0,1383634635.7222223,77,,0.0
21,net/ipv6/ip6_checksum.c,137,8,10,1357563160.0,1540281871.0,1404238566.2773724,12,db4f1be3ca9b,41.66666666666667
22,drivers/net/wireless/ath/ath10k/htt.c,270,9,25,1371041530.0,1553592543.0,1414660764.588889,28,dc3632a1adf5,3.571428571428571
23,drivers/char/powernv-op-panel.c,224,2,2,1467178719.0,1558242500.0,1467585253.736607,2,,0.0
24,fs/afs/yfsclient.c,2202,6,24,1539968278.0,1574298737.0,1544148912.900091,29,7533be858f5b,34.48275862068966
25,drivers/rtc/rtc-sc27xx.c,681,3,11,1510198457.0,1567667010.0,1513144749.7474303,14,,0.0
26,drivers/i2c/busses/i2c-eg20t.c,930,15,27,1307590169.0,1559085479.0,1317771338.2225807,40,,0.0
27,arch/x86/kernel/jailhouse.c,293,7,20,1511745106.0,1570681262.0,1533516035.3993175,21,7010adcdd235,9.523809523809524
28,net/ipv6/anycast.c,612,18,28,1311247043.0,1558918501.0,1364342657.6601307,40,6915ed86cca6,5.0
29,sound/soc/fsl/phycore-ac97.c,121,6,8,1305014297.0,1559798090.0,1335216085.0826447,5,,0.0
30,drivers/input/serio/serport.c,307,7,8,1311247043.0,1559614293.0,1336940483.612378,7,,0.0
31,drivers/net/wireless/ti/wl1251/tx.c,576,5,7,1311247043.0,1559120270.0,1316958527.9756944,7,,0.0
32,drivers/net/dsa/qca8k.c,1167,13,40,1473928001.0,1578402365.0,1491973983.9811482,54,f0d532c43073,18.51851851851852
33,drivers/gpu/drm/nouveau/nouveau_connector.c,1452,24,82,1308546031.0,1571885573.0,1395348075.240358,121,d5986a1c4dcd,1.6528925619834711
34,arch/arm/mach-davinci/board-mityomapl138.c,635,14,24,1306830682.0,1550130738.0,1347808147.8015747,32,04b9665b54f7,3.125
35,tools/perf/util/srcline.c,758,13,43,1378879768.0,1580225378.0,1463272032.389182,46,7346195e8643,4.3478260869565215
36,net/bluetooth/hci_sysfs.c,116,8,10,1306458745.0,1509520077.0,1322911979.3965516,44,,0.0
37,drivers/spi/spi-clps711x.c,172,8,16,1352295029.0,1567605532.0,1385053245.5,29,,0.0
38,drivers/net/ethernet/marvell/mvmdio.c,438,14,34,1352711027.0,1583975146.0,1435467487.6278539,41,d934423ac26e,7.317073170731707
39,drivers/net/ethernet/aquantia/atlantic/aq_ptp.c,1392,7,14,1571709202.0,1573137722.0,1571714830.7068965,14,76d7774e203d,28.57142857142857
40,arch/mips/kernel/cmpxchg.c,104,3,5,1497000399.0,1558918501.0,1498218836.8942308,5,94ee12b507db,20.0
41,arch/powerpc/platforms/pseries/hvconsole.c,75,7,9,1307519931.0,1559552217.0,1328204050.6266668,8,,0.0
42,sound/pci/au88x0/au88x0_mixer.c,44,5,5,1311247043.0,1578014203.0,1329691800.5681818,4,,0.0
43,drivers/media/i2c/s5c73m3/s5c73m3-ctrls.c,555,3,4,1353555558.0,1558918521.0,1354328465.3837838,4,,0.0
44,drivers/pinctrl/mediatek/pinctrl-mt8127.c,325,5,5,1431950492.0,1558918521.0,1434212193.5015385,8,,0.0
45,drivers/scsi/aic94xx/aic94xx_hwi.c,1372,9,11,1311247043.0,1559354906.0,1313679314.2354228,12,,0.0
46,arch/riscv/kernel/cpufeature.c,74,6,8,1499681229.0,1571296888.0,1526406381.0810812,10,,0.0
47,tools/testing/selftests/powerpc/tm/tm-trap.c,331,3,3,1514715646.0,1559008638.0,1514879108.7009063,3,192b2e742c06,33.33333333333333
48,drivers/iio/accel/mma9551_core.c,802,2,8,1420981815.0,1559085482.0,1421809043.529925,8,,0.0
49,drivers/gpu/drm/amd/amdgpu/amdgpu_nbio.c,84,2,2,1567464480.0,1568799050.0,1567686908.3333333,2,,0.0
50,drivers/iio/adc/lpc18xx_adc.c,225,3,3,1457760614.0,1570955554.0,1458716385.64,4,,0.0
51,arch/ia64/kernel/dma-mapping.c,21,5,5,1311247043.0,1544051164.0,1462029206.9047618,12,,0.0
52,drivers/infiniband/hw/qib/qib_wc_ppc64.c,62,1,1,1311247043.0,1311247043.0,1311247043.0,0,,0.0
53,net/core/dev_ioctl.c,521,13,16,1360938046.0,1577268979.0,1375188147.074856,23,8dd30201ce66,8.695652173913043
54,drivers/irqchip/irq-digicolor.c,119,4,5,1421296440.0,1500367390.0,1424838144.0420167,5,,0.0
55,drivers/mmc/host/tifm_sd.c,1085,10,10,1309677351.0,1559614293.0,1312841972.0046084,10,,0.0
56,drivers/gpu/drm/v3d/v3d_mmu.c,126,1,3,1525057858.0,1555578614.0,1527577067.3492064,3,,0.0
57,drivers/video/backlight/backlight.c,708,17,23,1311247043.0,1562644805.0,1369688323.7584746,23,,0.0
58,arch/mips/cavium-octeon/dma-octeon.c,250,8,12,1311247043.0,1566224586.0,1376953495.308,22,,0.0
59,drivers/scsi/aic94xx/aic94xx_tmf.c,695,5,7,1311247043.0,1559354906.0,1313521288.2460432,6,,0.0
60,drivers/gpio/gpio-moxtet.c,179,2,2,1565604677.0,1573008852.0,1565687405.2122905,2,,0.0
61,drivers/macintosh/windfarm_smu_sat.c,364,8,11,1311247043.0,1583214646.0,1328348933.901099,11,bcf3588d8ed3,9.090909090909092
62,drivers/gpu/drm/msm/msm_submitqueue.c,186,3,5,1508468815.0,1564880151.0,1519215486.6451614,5,,0.0
63,drivers/video/fbdev/omap2/omapfb/dss/dispc-compat.c,657,4,5,1449656908.0,1559519090.0,1449967468.2161338,5,,0.0
64,drivers/gpu/drm/panel/panel-sitronix-st7701.c,422,3,6,1548357691.0,1575702230.0,1549163051.0047393,7,,0.0
65,arch/arm/mach-sti/board-dt.c,40,10,11,1372133710.0,1559614293.0,1409304140.55,12,,0.0
66,sound/soc/intel/skylake/skl-nhlt.c,356,13,17,1437494035.0,1566893832.0,1487000350.5898876,27,,0.0
67,arch/c6x/kernel/signal.c,323,8,11,1317697474.0,1559614293.0,1325261849.7739937,17,,0.0
68,drivers/gpu/drm/amd/amdgpu/vcn_v1_0.c,1968,17,85,1482897458.0,1580865622.0,1516582557.7906504,115,adea72c5046f,1.7391304347826086
69,drivers/gpu/drm/exynos/exynos_drm_vidi.c,502,16,53,1332298526.0,1576724873.0,1400446212.4462152,107,,0.0
70,drivers/iommu/amd_iommu_init.c,3175,38,136,1307950199.0,1581321075.0,1386734803.406614,157,8c17bbf6c8f7,9.554140127388536
71,sound/soc/pxa/imote2.c,99,7,10,1305014297.0,1559797906.0,1333366341.4141414,10,,0.0
72,drivers/media/usb/go7007/go7007-i2c.c,210,5,5,1311247043.0,1558918521.0,1316620028.1,3,,0.0
73,tools/lib/traceevent/plugins/plugin_mac80211.c,102,4,10,1386050970.0,1554093797.0,1396904637.1086957,1,,0.0
74,mm/kasan/tags_report.c,82,2,4,1545928238.0,1569224053.0,1552746526.6341465,4,,0.0
75,samples/v4l/v4l2-pci-skeleton.c,915,6,16,1394757501.0,1558903409.0,1397948556.9551914,8,0185f8501762,12.5
76,arch/arm/mach-socfpga/socfpga.c,120,10,20,1342598838.0,1558252303.0,1407637363.9666667,34,,0.0
77,drivers/gpu/drm/nouveau/dispnv50/core507d.c,115,1,3,1525783187.0,1525783187.0,1525783187.0,3,,0.0
78,drivers/gpu/drm/nouveau/nvkm/engine/disp/rootgk110.c,55,1,8,1440053659.0,1525783186.0,1454082127.0545454,9,,0.0
79,fs/dlm/dir.c,306,3,5,1311247043.0,1559008640.0,1319136447.3039215,5,,0.0
80,tools/thermal/tmon/sysfs.c,589,4,4,1381737747.0,1558489895.0,1383875160.5636673,4,,0.0
81,arch/mips/lib/uncached.c,80,3,3,1311247043.0,1371533939.0,1312595425.7875,3,,0.0
82,sound/firewire/oxfw/oxfw-midi.c,194,3,12,1418055048.0,1571331256.0,1436140270.6443298,13,03a954aef70e,7.6923076923076925
83,tools/perf/util/cloexec.c,105,7,15,1404138527.0,1567479366.0,1423948419.4380953,19,,0.0
84,net/phonet/pn_netlink.c,306,8,12,1306881908.0,1559120270.0,1329461175.1666667,15,,0.0
85,mm/memory-failure.c,1909,47,119,1306396852.0,1575107621.0,1391120546.9696176,175,faf53def3b14,9.142857142857142
86,tools/testing/selftests/kvm/lib/x86_64/ucall.c,56,2,2,1564564523.0,1569395562.0,1564650791.5535715,2,,0.0
87,arch/mips/sgi-ip27/ip27-init.c,148,4,15,1311247043.0,1578548030.0,1381728632.162162,22,,0.0
88,arch/arm/mach-s3c24xx/mach-osiris-dvs.c,178,8,8,1311247043.0,1546496048.0,1327844572.0561798,10,e2477233145f,10.0
89,arch/m68k/coldfire/intc-simr.c,199,3,3,1311247043.0,1499841442.0,1315649535.5728643,2,,0.0
90,drivers/gpu/drm/nouveau/nvkm/subdev/pmu/gk110.c,112,1,10,1426836017.0,1579041261.0,1444879054.3839285,10,,0.0
91,drivers/media/radio/si4713/radio-usb-si4713.c,522,7,11,1381811082.0,1559603992.0,1384134188.4846742,13,,0.0
92,fs/nfs/blocklayout/rpc_pipefs.c,288,2,5,1410341846.0,1457095575.0,1410562295.375,5,,0.0
93,arch/arm64/kernel/acpi_numa.c,132,5,5,1464075344.0,1552287357.0,1491217788.0757575,6,,0.0
94,drivers/staging/greybus/audio_manager_module.c,242,5,6,1452665268.0,1543139895.0,1455381536.090909,7,,0.0
95,drivers/input/keyboard/nspire-keypad.c,272,6,8,1369890970.0,1565750798.0,1371525963.375,10,,0.0
96,arch/x86/platform/intel-mid/pwr.c,485,5,10,1465910985.0,1559354917.0,1467649709.969072,11,e8a6123e9ead,27.27272727272727
97,tools/testing/selftests/bpf/verifier/xdp_direct_packet_access.c,900,1,1,1548401084.0,1548401084.0,1548401084.0,1,,0.0
98,drivers/iio/adc/ti-adc128s052.c,236,8,8,1394275080.0,1540456542.0,1419870652.457627,10,,0.0
99,drivers/watchdog/pic32-wdt.c,244,5,7,1456453168.0,1558918501.0,1467148141.0860655,8,,0.0
100,drivers/media/usb/gspca/nw80x.c,2105,7,10,1311247043.0,1565897893.0,1314452517.952969,6,,0.0
101,fs/reiserfs/xattr.c,1036,14,38,1308568589.0,1579064459.0,1341276480.3899615,47,394440d46941,6.382978723404255
102,drivers/net/ethernet/netronome/nfp/nfp_net_main.c,789,7,63,1486603058.0,1567961663.0,1499533975.6679342,77,c55ca688ed99,10.38961038961039
103,drivers/net/ethernet/stmicro/stmmac/stmmac_pci.c,624,21,47,1324411099.0,1581060868.0,1496214639.5128205,66,909c1dde67c4,10.606060606060606
104,drivers/staging/vt6656/rf.c,952,13,40,1311247043.0,1558341542.0,1394460615.9033613,58,,0.0
105,net/rfkill/core.c,1381,23,37,1311247043.0,1576373648.0,1343527283.2099926,42,f6b4122c93f4,4.761904761904762
106,tools/testing/selftests/efivarfs/open-unlink.c,134,3,3,1361955952.0,1509520077.0,1412311118.2537313,3,,0.0
107,net/sched/sch_sfb.c,731,17,33,1311247043.0,1571702266.0,1329210884.9439125,38,55667441c84f,18.421052631578945
108,drivers/pcmcia/pd6729.c,777,8,11,1311247043.0,1528783420.0,1313029153.8996139,11,,0.0
109,drivers/gpu/drm/amd/amdgpu/arct_reg_init.c,60,3,3,1562635313.0,1567451971.0,1562805406.2333333,4,,0.0
110,drivers/media/usb/gspca/m5602/m5602_s5k4aa.c,759,7,8,1311247043.0,1559236172.0,1360371204.5032938,7,,0.0
111,arch/powerpc/kernel/module_64.c,840,18,39,1311247043.0,1562343533.0,1390054985.0559523,45,2fb0a2c98983,11.11111111111111
112,drivers/gnss/core.c,421,4,5,1527819772.0,1553615479.0,1527952347.648456,5,d9995a0fab40,20.0
113,sound/soc/samsung/neo1973_wm8753.c,393,9,14,1305014297.0,1576202139.0,1334254204.5267177,19,,0.0
114,drivers/gpu/drm/bridge/synopsys/dw-hdmi-ahb-audio.c,636,6,9,1383811305.0,1577839413.0,1390344585.61478,6,d969ebe922aa,16.666666666666664
115,tools/usb/testusb.c,526,9,11,1311247043.0,1558315142.0,1317960223.0266159,10,,0.0
116,drivers/greybus/es2.c,1465,18,93,1421807055.0,1566690869.0,1452905276.720819,1,,0.0
117,drivers/usb/isp1760/isp1760-udc.c,1505,9,13,1421772961.0,1520438904.0,1422292635.2066445,14,,0.0
118,drivers/hid/hid-lg-g15.c,899,1,6,1566974485.0,1566974490.0,1566974487.272525,6,,0.0
119,drivers/spi/spi-fsl-qspi.c,1009,7,8,1546824587.0,1578991573.0,1548059118.579782,8,b0177aca7aea,37.5
120,arch/arm/mach-footbridge/isa-timer.c,41,6,6,1306926297.0,1509520077.0,1315639091.682927,6,,0.0
121,drivers/leds/leds-lm36274.c,170,2,2,1559692594.0,1563894898.0,1559717313.4352942,2,,0.0
122,sound/soc/intel/skylake/skl-debug.c,248,9,14,1498784765.0,1581999456.0,1510773248.137097,16,549cd0ba04dc,18.75
123,drivers/gpu/drm/nouveau/nvkm/subdev/acr/base.c,411,1,7,1579041261.0,1579041262.0,1579041261.8613138,7,,0.0
124,drivers/usb/serial/kl5kusb105.c,545,7,18,1311247043.0,1509679710.0,1332996881.2862384,31,146cc8a17a3b,12.903225806451612
125,arch/m68k/coldfire/intc-5272.c,185,3,4,1311247043.0,1442198557.0,1315027186.2432432,4,,0.0
126,tools/testing/nvdimm/config_check.c,18,2,4,1434533012.0,1509520077.0,1443625236.5555556,5,,0.0
127,drivers/base/regmap/regmap-irq.c,992,25,57,1319817049.0,1565576649.0,1413982475.6149194,63,8293488205f1,3.1746031746031744
128,tools/testing/selftests/cgroup/test_core.c,546,4,5,1531913638.0,1578444389.0,1542454180.7106228,5,192c197cbca5,20.0
129,drivers/net/ethernet/mellanox/mlxsw/minimal.c,445,3,14,1479280846.0,1579961927.0,1546093405.435955,16,6dd4b4f3936e,12.5
130,drivers/clk/spear/clk-vco-pll.c,359,4,6,1334019755.0,1506506421.0,1336544480.8272982,7,,0.0
131,tools/perf/tests/fdarray.c,176,4,6,1409738579.0,1509520077.0,1413358851.715909,8,,0.0
132,drivers/watchdog/wdt_pci.c,742,11,14,1311247043.0,1560994126.0,1314174852.3638813,16,,0.0
133,arch/csky/kernel/smp.c,277,2,5,1536128720.0,1578370885.0,1538209860.801444,6,,0.0
134,drivers/clk/sunxi/clk-a10-pll2.c,195,4,6,1405669715.0,1558918506.0,1411828149.3641026,6,59f0ec231f39,16.666666666666664
135,drivers/gpu/drm/etnaviv/etnaviv_cmd_parser.c,206,4,5,1449138089.0,1525767654.0,1451264606.6601942,5,,0.0
136,arch/sh/boards/mach-sdk7780/irq.c,43,2,2,1311247043.0,1545928306.0,1316704746.7906976,1,,0.0
137,drivers/media/pci/tw68/tw68-risc.c,222,3,4,1409686267.0,1558918506.0,1418186239.0450451,4,,0.0
138,crypto/asymmetric_keys/pkcs7_key_type.c,95,5,11,1404212778.0,1558350481.0,1427491663.4526315,14,,0.0
139,drivers/mfd/da9052-irq.c,287,5,5,1349280905.0,1559614293.0,1351445192.5853658,5,,0.0
140,drivers/staging/comedi/drivers/usbduxsigma.c,1616,10,112,1311995702.0,1565841194.0,1366968186.1138613,175,c04a1f17803e,1.1428571428571428
141,drivers/clk/renesas/r8a7745-cpg-mssr.c,246,4,6,1478622308.0,1537839245.0,1479583376.117886,7,5ed793b3b29c,28.57142857142857
142,sound/hda/hdac_device.c,1098,8,31,1424761182.0,1578898598.0,1437982416.8151183,36,246bb4aaa4f4,8.333333333333332
143,drivers/usb/gadget/legacy/dbgp.c,426,12,16,1307354793.0,1509679710.0,1315912088.4342723,8,,0.0
144,drivers/gpu/drm/i915/gt/intel_gt_pm_irq.c,109,1,2,1565508480.0,1565532393.0,1565508699.3853211,2,,0.0
145,drivers/pinctrl/berlin/berlin.c,340,9,13,1400499389.0,1535374361.0,1409763183.3970587,16,b5031b7db77d,12.5
146,drivers/scsi/scsi_transport_srp.c,895,6,23,1311247043.0,1559614295.0,1363193554.7832403,27,c9ddf73476ff,3.7037037037037033
147,tools/testing/selftests/powerpc/dscr/dscr_sysfs_test.c,98,3,3,1432181591.0,1559614293.0,1437276867.2959185,3,,0.0
148,drivers/video/fbdev/aty/mach64_ct.c,650,4,5,1311247043.0,1534490377.0,1313731823.8615384,4,,0.0
149,arch/x86/platform/olpc/olpc-xo1-pm.c,188,8,10,1306383773.0,1558918501.0,1313315547.9414895,11,,0.0
150,net/ncsi/ncsi-aen.c,245,4,10,1468900460.0,1558918501.0,1491270719.0081632,12,,0.0
151,security/apparmor/policy.c,1162,8,63,1311247043.0,1577914282.0,1406628283.2891567,85,8c62ed27a12c,5.88235294117647
152,drivers/staging/comedi/drivers/das08_pci.c,96,4,11,1359617149.0,1510037923.0,1364162358.7916667,16,,0.0
153,arch/mips/sni/a20r.c,249,4,5,1311247043.0,1358830770.0,1319013136.7751005,5,,0.0
154,drivers/net/ethernet/mellanox/mlx4/catas.c,330,9,13,1309677661.0,1568256584.0,1394908019.4666667,17,22e3817e6c83,5.88235294117647
155,sound/drivers/vx/vx_pcm.c,1223,6,9,1311247043.0,1575859720.0,1315312780.1651676,11,,0.0
156,sound/soc/txx9/txx9aclc-generic.c,88,4,5,1305014297.0,1559798305.0,1325645031.4545455,5,,0.0
157,drivers/infiniband/sw/siw/siw_verbs.c,1848,3,7,1561026087.0,1575969449.0,1562466694.8024893,10,289b20b2a5f9,130.0
158,drivers/mtd/lpddr/lpddr_cmds.c,737,9,11,1309677451.0,1558252291.0,1312991641.2103121,14,,0.0
159,fs/freevxfs/vxfs_inode.c,341,6,9,1311247043.0,1464744312.0,1367727423.7038124,13,,0.0
160,arch/mips/loongson32/common/reset.c,51,4,6,1343204244.0,1578275030.0,1377220398.862745,4,,0.0
161,sound/usb/caiaq/device.c,571,10,18,1310183803.0,1558918505.0,1333656489.6847637,18,,0.0
162,drivers/staging/media/hantro/hantro_vp8.c,201,3,3,1562833604.0,1564028752.0,1562922259.4328358,4,,0.0
163,sound/soc/codecs/max98504.c,380,2,2,1467177997.0,1559614293.0,1467421250.4105263,2,,0.0
164,drivers/scsi/libfc/fc_fcp.c,2323,15,37,1311247043.0,1559120269.0,1325444155.4761086,46,,0.0
165,drivers/block/drbd/drbd_req.c,1795,20,118,1292762909.0,1574910570.0,1361856434.1481893,185,fad2d4ef6366,1.0810810810810811
166,arch/powerpc/math-emu/udivmodti4.c,192,2,2,1311247043.0,1509520077.0,1312279715.0520833,1,,0.0
167,drivers/video/fbdev/fb-puv3.c,837,9,9,1306294492.0,1575369530.0,1312815555.1242533,6,,0.0
168,drivers/clk/mediatek/clk-mt8183-img.c,63,1,1,1551762345.0,1551762345.0,1551762345.0,1,,0.0
169,drivers/misc/pci_endpoint_test.c,814,7,23,1490598914.0,1569609788.0,1506524458.6769042,25,8f220664570e,12.0
170,drivers/media/usb/au0828/au0828-cards.c,346,7,21,1311247043.0,1558918506.0,1325221728.1763005,24,2e208c64e3aa,4.166666666666666
171,tools/perf/builtin-lock.c,1033,16,45,1306400573.0,1567140745.0,1331583602.6757019,53,,0.0
172,tools/objtool/check.c,2498,9,64,1498615865.0,1571641909.0,1512531457.3390713,69,9a50dcaf0416,17.391304347826086
173,arch/arm/mach-s3c64xx/mach-smartq.c,426,13,21,1311247043.0,1579769413.0,1334207006.2676055,23,,0.0
174,arch/mips/kernel/mips-mt.c,246,5,5,1311247043.0,1509520077.0,1312419576.6382115,9,,0.0
175,drivers/gpu/drm/amd/amdgpu/navi12_reg_init.c,52,1,1,1557818573.0,1557818573.0,1557818573.0,2,,0.0
176,arch/x86/oprofile/op_model_ppro.c,245,4,5,1311247043.0,1510051987.0,1313487004.6530612,4,,0.0
177,drivers/char/agp/isoch.c,465,4,4,1311247043.0,1576585377.0,1313179694.7892473,4,,0.0
178,drivers/net/ethernet/stmicro/stmmac/stmmac_ethtool.c,952,23,58,1306881908.0,1575858703.0,1401842275.0084033,72,46dfc3a54b4d,4.166666666666666
179,drivers/media/pci/ttpci/av7110_v4l.c,952,6,12,1311247043.0,1558581290.0,1313641246.3644958,9,,0.0
180,tools/perf/tests/evsel-tp-sched.c,89,6,12,1352483208.0,1563686637.0,1383693338.1460674,17,d982b3313328,17.647058823529413
181,sound/core/seq/seq_lock.c,26,4,5,1311247043.0,1558918505.0,1344890046.0769231,6,,0.0
182,drivers/hwmon/jc42.c,595,8,28,1311247043.0,1558315142.0,1386300499.1462185,34,,0.0
183,arch/powerpc/boot/ns16550.c,79,2,2,1311247043.0,1509520077.0,1313756828.2405064,1,,0.0
184,sound/soc/codecs/adau7002.c,138,5,5,1464848382.0,1559008626.0,1500368391.5797102,6,,0.0
185,fs/ubifs/tnc_misc.c,503,8,12,1311247043.0,1566223426.0,1334641565.087475,11,ce4d8b16e64d,9.090909090909092
186,lib/crypto/chacha.c,115,4,8,1465726416.0,1573190528.0,1519718760.3913043,1,,0.0
187,drivers/gpu/drm/amd/display/amdgpu_dm/amdgpu_dm_crc.c,241,5,13,1531481376.0,1566456169.0,1559381993.987552,19,,0.0
188,drivers/ide/via82cxxx.c,532,4,4,1311247043.0,1563882592.0,1312525771.719925,4,,0.0
189,lib/test_hash.c,257,4,5,1464271911.0,1558242500.0,1465173046.6264591,5,e6173ba42bbd,40.0
190,arch/powerpc/platforms/83xx/mpc837x_rdb.c,82,7,8,1311247043.0,1558918501.0,1319220160.695122,8,,0.0
191,sound/usb/mixer_quirks.c,2375,25,56,1310183803.0,1578728856.0,1402260796.9987369,63,6de3c9e3f6b3,6.349206349206349
192,drivers/staging/rtl8723bs/hal/odm_HWConfig.c,486,5,6,1490788071.0,1561710515.0,1495064130.7304528,9,,0.0
193,drivers/staging/comedi/drivers/rtd520.c,1366,14,102,1307596147.0,1510037923.0,1367294031.543192,218,,0.0
194,tools/testing/radix-tree/multiorder.c,230,3,12,1463734934.0,1559085482.0,1500414842.573913,36,,0.0
195,drivers/clk/sunxi/clk-sun4i-pll3.c,90,3,3,1458725906.0,1558918506.0,1460915225.0666666,3,,0.0
196,drivers/i3c/master/dw-i3c-master.c,1219,6,10,1542089391.0,1577530445.0,1542585689.0812142,12,907621e94d49,25.0
197,arch/sh/boards/mach-se/7751/setup.c,60,2,2,1311247043.0,1509520077.0,1314551593.5666666,2,,0.0
198,drivers/gpu/drm/amd/amdgpu/gfx_v9_4.c,978,2,2,1579153252.0,1580293475.0,1579154417.872188,2,968162204adf,50.0
199,arch/m68k/68000/m68VZ328.c,189,5,6,1311247043.0,1481014833.0,1316728624.6666667,3,,0.0
200,drivers/platform/x86/intel_pmc_core_pltdrv.c,72,4,5,1561638853.0,1578304620.0,1563012211.3611112,5,,0.0
201,tools/perf/builtin-inject.c,842,17,84,1311247043.0,1575439680.0,1405294700.0558195,108,29f6eeca0e14,1.8518518518518516
202,drivers/net/ethernet/mellanox/mlx4/en_dcb_nl.c,753,11,16,1333546406.0,1522132878.0,1416367809.0982735,22,6e8814ceb7e8,27.27272727272727
203,net/decnet/dn_table.c,929,14,16,1303125322.0,1556248392.0,1308974735.3918192,17,,0.0
204,drivers/regulator/da9063-regulator.c,902,15,28,1375095645.0,1569477088.0,1406701962.3769403,35,29d40b4a5776,5.714285714285714
205,drivers/ata/pata_triflex.c,236,6,6,1302853920.0,1559120267.0,1313359136.9745762,6,,0.0
206,block/partitions/ldm.c,1498,8,9,1311247043.0,1579710561.0,1312820763.746996,9,,0.0
207,drivers/iio/imu/inv_mpu6050/inv_mpu_core.c,1403,26,67,1359735960.0,1579172205.0,1464909958.1610835,80,53eaa9c27fdc,8.75
208,drivers/net/dsa/lan9303_i2c.c,106,3,4,1492483706.0,1558918521.0,1493443695.5566037,4,,0.0
209,drivers/net/ethernet/mellanox/mlxsw/core_env.c,250,1,5,1550028527.0,1571635831.0,1552972624.592,6,f1436c8036fa,50.0
210,drivers/staging/greybus/audio_gb.c,225,5,7,1452665266.0,1566690867.0,1455165596.5822222,9,,0.0
211,arch/arm/mach-omap2/clock.c,141,8,24,1307950199.0,1559614293.0,1392459507.35461,56,,0.0
212,drivers/iio/gyro/bmg160_i2c.c,81,3,3,1439964765.0,1558242500.0,1453972993.8395061,3,,0.0
213,fs/nls/nls_iso8859-14.c,341,1,1,1311247043.0,1311247043.0,1311247043.0,1,,0.0
214,drivers/media/rc/keymaps/rc-encore-enltv.c,108,5,6,1309672992.0,1561347734.0,1353361472.5462964,5,,0.0
215,sound/pci/ice1712/ews.c,1067,7,12,1311247043.0,1578014213.0,1315894515.3898783,12,352bcae97f9b,8.333333333333332
216,drivers/gpu/drm/nouveau/nvkm/engine/device/pci.c,1695,3,8,1440053657.0,1509479779.0,1440936315.560472,17,,0.0
217,arch/csky/mm/ioremap.c,19,1,3,1536128712.0,1564469002.0,1544985488.7894738,7,,0.0
218,net/wireless/scan.c,2614,32,91,1307344290.0,1570174626.0,1434122291.1457536,112,242b0931c191,1.7857142857142856
219,drivers/gpu/drm/nouveau/nvkm/engine/pm/nv40.c,123,3,8,1360740551.0,1457940250.0,1395797520.9756098,10,86d65b7e7a0c,10.0
220,drivers/firewire/sbp2.c,1620,7,23,1304254231.0,1558918505.0,1309233406.4691358,35,a8cf59a6692c,2.857142857142857
221,drivers/usb/gadget/udc/lpc32xx_udc.c,3281,20,40,1335689225.0,1571033910.0,1343018491.5903687,30,b987b66ac3a2,6.666666666666667
